№,tweet,A,H,target,cat_1 Religion/creed,"cat_2
Race/ethnicity","cat_3
Physical/disability","cat_4
Gender/sexual orientation","cat_5
Other invective/slander",level,Annotator 1 / Annotator 2,№,tweet,A,H,target,cat_1 Religion/creed,"cat_2
Race/ethnicity","cat_3
Physical/disability","cat_4
Gender/sexual orientation","cat_5
Other invective/slander",level,
16,"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0,0,0,0,0,0,0,0,_,,16,"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0,0,0,0,0,0,0,0,,
17,"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1,0,0,0,0,0,0,0,,,17,"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1,0,I,0,0,0,0,0,,
18,"Эй, а ты симпатичная, я бы вдул",1,1,I,0,0,0,1,0,S,,18,"Эй, а ты симпатичная, я бы вдул",1,0,I,0,0,0,1,0,Moderate,
19,"Женщины обычно живут дольше, чем мужчины",0,0,0,0,0,0,0,0,neutral,,19,"Женщины обычно живут дольше, чем мужчины",0,0,0,0,0,0,0,0,,
20,"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",1,0,0,0,0,0,0,0,,,20,"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",1,0,0,0,0,0,0,0,,
21,"Он, как любой мужик, постоянно хочет",0,1,0,0,0,0,1,0,,,21,"Он, как любой мужик, постоянно хочет",0,1,0,0,0,0,1,0,Weak,
22,"Все женщины должны рожать детей, в чём иначе их биологическая функция?",0,1,0,0,0,0,1,0,M,,22,"Все женщины должны рожать детей, в чём иначе их биологическая функция?",0,1,G,0,0,0,1,0,Weak,
23,"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0,0,0,0,0,0,0,0,_,,23,"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0,0,0,0,0,0,0,0,,
24,В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0,0,0,0,0,0,0,0,_,,24,В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0,0,0,0,0,0,0,0,,
25,"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",0,1,G,0,0,0,0,1,S,,25,"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",1,1,G,0,0,0,0,1,Moderate,threat
,,,,,,,,,,,,,,,,,,,,,,,
POur alina,,,,,,,,,,,,,,,,,,,,,,,
100,"Ну заставь бабку переписать квартиру на тебя. В крайнем случае можно и прихлопнуть, все равно старая уже.",1,1,I,0,0,0,0,1,-,,100,"Ну заставь бабку переписать квартиру на тебя. В крайнем случае можно и прихлопнуть, все равно старая уже.",1,1,I,0,0,0,0,1,Weak,
101,Попытка самоубийства может быть реальной или демонстративной,0,1,G,0,0,1,0,0,Weak,,101,Попытка самоубийства может быть реальной или демонстративной,0,0,0,0,0,1,0,0,0,disturbing
102,Послушать этих православнутых - так вообще ничего нельзя делать.,1,1,G,1,0,0,0,0,Weak,,102,Послушать этих православнутых - так вообще ничего нельзя делать.,1,0,0,1,0,0,0,0,,
103,При шизофрении человек может работать почти на любой работе.,0,0,G,0,0,0,0,0,Neutral,,103,При шизофрении человек может работать почти на любой работе.,0,0,0,0,0,0,0,0,Neutral,
104,"Продам беспроигрышную схему игры с игровым автоматом, выигрыш каждый раз, минимум 100 рублей.",0,0,,0,0,0,0,0,Neutral,,104,"Продам беспроигрышную схему игры с игровым автоматом, выигрыш каждый раз, минимум 100 рублей.",0,0,,0,0,0,0,0,Neutral,
105,"Свидетели Иеговы - секта, запрещенная на территории России",0,0,G,0,0,0,0,0,Neutral,,105,"Свидетели Иеговы - секта, запрещенная на территории России",0,0,0,0,0,0,0,0,Neutral,
106,Снотворное - это неэффективно. Гораздо надежнее отравиться мышьяком,1,1,I G,0,0,1,0,0,Moderate,,106,Снотворное - это неэффективно. Гораздо надежнее отравиться мышьяком,0,1,I G,0,0,0,0,1,Strong,
107,"Согласно опросам, блондины производят лучшее впечатление на собеседованиях, чем брюнеты",0,0,G,0,0,0,0,0,Neutral,,107,"Согласно опросам, блондины производят лучшее впечатление на собеседованиях, чем брюнеты",0,0,0,0,0,0,0,0,Neutral,
108,Хорошим математиком женщина все равно быть не может.,0,1,G,0,0,0,1,0,Weak,,108,Хорошим математиком женщина все равно быть не может.,0,1,G,0,0,0,1,0,Moderate,
109,Это новое обострение арабо-израильского конфликта.,0,0,,0,0,0,0,0,Neutral,,109,Это новое обострение арабо-израильского конфликта.,0,0,0,0,0,0,0,0,Neutral,
110,"Цивилизованное общество тем и отличается от стада, что проявляет заботу о тех, кто не может позаботиться о себе сам.",1,0,G,0,0,0,0,0,Weak,,110,"Цивилизованное общество тем и отличается от стада, что проявляет заботу о тех, кто не может позаботиться о себе сам.",0,0,G,0,0,0,0,0,_,
111,Нахера ваще инвалидные парковки нужны? Нехер этих обрубков за руль пускать.,1,1,G,0,0,1,0,0,Strong,,111,Нахера ваще инвалидные парковки нужны? Нехер этих обрубков за руль пускать.,1,1,G,0,0,1,0,0,Strong,
112,Одежда должна быть в первую очередь удобной. А бренды это фетиш.,0,1,G,0,0,0,0,1,Weak,,112,Одежда должна быть в первую очередь удобной. А бренды это фетиш.,1,0,G,0,0,0,0,0,Neg,
113,За шмот ответишь,1,0,I,0,0,0,0,0,Moderate,,113,За шмот ответишь,1,1,I,0,0,0,0,0,Weak,
114,"Гомосексуализм присущ не только людям, но и практически всем видам животных.",1,0,G,0,0,0,1,0,Weak,,114,"Гомосексуализм присущ не только людям, но и практически всем видам животных.",1,1,G,0,0,0,1,0,Weak,
115,А тех кто в жопу долбится надо кастрировать! Говномесам здесь не место!,1,1,G,0,0,0,1,0,Strong,,115,А тех кто в жопу долбится надо кастрировать! Говномесам здесь не место!,1,1,G,0,0,0,1,0,Strong,
116,"Негроидная раса не является монолитной, и её можно разделить на несколько рассовых групп.",0,0,G,0,0,0,0,0,,,116,"Негроидная раса не является монолитной, и её можно разделить на несколько рассовых групп.",0,0,0,0,0,0,0,0,,
117,"Нигеры вообще не люди, недалеко от обезьян ушли.",1,1,G,0,1,0,0,0,Strong,,117,"Нигеры вообще не люди, недалеко от обезьян ушли.",1,1,G,0,1,0,0,0,Strong,
118,"Киндер, кюхе, кирхе! Других прав у женщин быть не должно!",1,1,G,0,0,0,1,0,Strong,,118,"Киндер, кюхе, кирхе! Других прав у женщин быть не должно!",1,1,G,0,0,0,1,0,Strong,
119,Казино официально запрещены в РФ,0,0,,0,0,0,0,0,,,119,Казино официально запрещены в РФ,0,0,0,0,0,0,0,0,Neutral,
120,Лудомания это страшная болезнь которая разрушает человеческие жизни,0,0,G,0,0,0,0,0,Neutral,,120,Лудомания это страшная болезнь которая разрушает человеческие жизни,0,0,0,0,0,0,0,0,Neutral,
121,"Азино три топроа, луший букмекерс лушими кэфами, пойдем зарядим на барсу!",0,0,,0,0,0,0,0,,,121,"Азино три топроа, луший букмекерс лушими кэфами, пойдем зарядим на барсу!",1,0,0,0,0,0,0,0,Spam,
122,пацаны по этому промокоду получите гарантированные выплаты даже за проигранную ставку,0,0,,0,0,0,0,0,,,122,пацаны по этому промокоду получите гарантированные выплаты даже за проигранную ставку,0,0,0,0,0,0,0,0,Spam,
123,КОгда уже установят нормальный пандус для инвалидова?,0,0,0,0,0,0,0,0,,,123,КОгда уже установят нормальный пандус для инвалидова?,0,0,0,0,0,0,0,0,,
124,Излечимы ли такие болезни как шизофрения или дцп,0,0,0,0,0,0,0,0,,,124,Излечимы ли такие болезни как шизофрения или дцп,0,0,0,0,0,0,0,0,,
125,"Тебе бы не помешало умереть, а то мы из-за твоей болезни платим своими налогами за твое благостостояние",1,1,I,0,0,1,0,0,Strong,,125,"Тебе бы не помешало умереть, а то мы из-за твоей болезни платим своими налогами за твое благостостояние",1,1,I,0,0,1,0,0,Strong,
